componentID,type,performance,metadata,Brand,Model Name,Signal Type,price_USD,weight_g,length_mm,width_mm,height_mm,2Dimage,metadata.1,MinVolt_V,MaxVol_V,Torque@4.8V (kg/cm),Torque@6V (kg/cm),Speed@4.8V,Speed@6.0V,supplierURL
servo_MG90D,,,,Readytosky,MG90D,Digital,299,13.0,22.8,12.2,28.5,,,4.8,6.6,2.1,2.5,0.1,0.08,https://www.uavmarketplace.in/products/readytosky-mg90d-full-metal-gear-digitalservo/895789000000360078
servo_ES3351,,,,EMAX,ES3351,Digital,999,10.6,23.17,9.17,24.05,,,4.8,6.0,2.0,2.2,0.12,0.1,https://www.uavmarketplace.in/products/emax-es3351-mini-plastic-gear-digitalservo/89578900000359610
servo_ES09A,,,,EMAX,ES09A,Analog,899,11.6,23.0,12.0,24.5,,,4.8,6.0,2.2,2.4,0.11,0.09,https://www.uavmarketplace.in/products/emax-es09a-11-6g-plastic-analog-servo-for-rc-450helicopter/89578900000359597
servo_ES3005,,,,EMAX,ES3005,Analog,1159,42.0,38.0,19.0,37.0,,,4.8,6.0,10.0,12.0,0.16,0.14,https://www.uavmarketplace.in/products/emax-es3005-4-8v-6v-metal-analog-servo/895789000000359584
servo_ES3001,,,,EMAX,ES3001,Analog,539,37.0,38.6,28.8,34.9,,,4.8,6.0,3.2,4.2,0.14,0.17,https://www.uavmarketplace.in/products/emax-es3001-37g-plastic-analog-servo-for-rc-model/895789000000359571
servo_ES08MD,,,,EMAX,ES08MD,Digital,1199,13.0,23.0,11.5,24.0,,,4.8,6.0,1.6,2.0,0.12,0.1,https://www.uavmarketplace.in/products/emax-es08md-13g-mini-metal-digital-servo-for-rcmodel/89578900000059545
servo_ES3054,,,,EMAX,ES3054,Digital,1039,17.0,38.3,13.0,31.3,,,4.8,6.0,3.0,3.5,0.15,0.13,https://www.uavmarketplace.in/products/emax-es3054-20g-digital-metal-gear-servo/895789000000359558
servo_ES3054,,,,MFE,ES3054,Digital,2669,23.0,28.5,13.0,31.1,,,4.8,6.0,3.1,3.6,0.15,0.13,https://www.uavmarketplace.in/products/mfe-s3054-digital-servo/895789000002206872
servo_ES08A II,,,,EMAX,ES08A II,Analog,499,8.5,23.0,11.5,24.0,,,4.8,6.0,1.5,1.8,0.12,0.1,https://www.uavmarketplace.in/products/emax-es08a-ii-mini-plastic-gear-analog-servo/895789000000360689
servo_ES3004,,,,EMAX,ES3004,Analog,879,17.0,28.0,13.0,31.0,,,4.8,6.0,3.0,3.5,0.15,0.13,
servo_ES08MA ,,,,EMAX,ES08MA,Analog,599,12.0,23.0,11.5,24.0,,,4.8,6.0,1.6,2.0,0.12,0.1,
servo_SG90Mini,,,,Readytosky,SG90 Mini,Digital,299,9.0,21.0,12.0,23.0,,,3.0,7.2,1.2,1.6,0.12,0.1,
servo_ES3059MD,,,,EMAX,ES3059MD,Digital,599,12.0,27.0,11.0,23.0,,,4.8,6.0,1.8,2.1,0.13,0.11,
servo_ES3054-20G,,,,EMAX,ES3054 20G,Digital,1039,20.0,38.0,13.0,31.0,,,4.8,6.0,3.0,3.5,0.15,0.13,
servo_ES3352,,,,EMAX,ES3352,,21,12.0,23.0,10.0,26.0,,,6.0,8.4,1.7,2.4,0.18,0.1,https://www.getfpv.com
servo_ES3059,,,,EMAX,ES3059,,10,12.0,24.0,12.0,27.0,,,4.8,6.0,1.8,2.1,0.13,0.11,https://www.getfpv.com
servo_ES3054-20G,,,,EMAX,ES9052,,19,6.0,20.0,9.0,23.0,,,5.0,8.4,0.85,1.4,0.1,0.06,https://www.getfpv.com
S5455H,,,,FrSky,S5455H,,90,72.0,40.0,20.0,39.0,,,5.0,8.4,0.85,1.4,0.1,0.06,https://www.getfpv.com
S5403H,,,,FrSky,S5403H,,104,77.0,40.0,20.0,33.0,,,6.0,8.4,3.0,2.0,0.11,0.1,https://www.getfpv.com
HV5101,,,,FrSky,HV5101,,68,18.0,28.0,8.0,28.0,,,4.8,8.4,3.0,2.0,0.11,0.1,https://www.getfpv.com
