Model ID,Performance,Metadata,Weight (g),Price (USD),Frequency Range,Bandwidth,Data Rate,Range,Length,Width,Height,Power Consumption,Product Link,Key Features
Xingkai F-301AE,,,133,500,800MHz/1.4GHz/2.4GHz,3-20MHz,30Mbps DL/26Mbps UL,15km,93,58,2.5,7,https://xingkaitech.en.made-inchina.com/product/vnIpDBhEXyWV/,"Frequency hopping, OFDM, -30°C to 60°C, AES encryption "
Berten U6000,,,750,12,70MHz-6GHz,1-30MHz,78Mbps max,150km (LoS),165,110,37,45,https://www.bertendsp.com/products/s6000datalink/,"IP67, MIL-STD-810G, TDMA/FDMAmesh, -40°C to 85°C"
Berten C6000,,,1050,15,70MHz-6GHz,1-30MHz,78Mbps max,200km (LoS),165,110,50,50,https://www.bertendsp.com/products/s6000datalink/,"2W HPA, regenerative relay, dual transceiver"
Berten R6000,,,3500,25,70MHz-6GHz,1-30MHz,78Mbps max,250km (LoS),228,230,88,50,https://www.bertendsp.com/products/s6000datalink/,"Rack-mount, 5” touchscreen, 8W Cband"
Austars LANOBU,,,230,9000,1.4GHz/2.4GHz,20MHz,6.7Mbps,200km,66,110,40,25,https://www.austarsmodel.com/15200-km-transceiver-14ghz-band-14301444-mhz-rc-link-videolink-datalink-3-in-1-forindustrial-drone-uav-2024-version_g21279.html,"Auto-tracking antenna, 10ms recovery, H.264 encoding"
Austars SDIOBU,,,320,9500,1.4GHz/2.4GHz,20MHz,6.7Mbps,200km,66,110,50,30,https://www.austarsmodel.com/15200-km-transceiver-14ghz-band-14301444-mhz-rc-link-videolink-datalink-3-in-1-forindustrial-drone-uav-2024-version_g21279.html,"SDI interface, 1080P60, SBUS/PPM control"
Taisync Pro,,,180,3500,1.2-1.6GHz/2.4GHz,10MHz,12Mbps,50km,85,60,15,10,,"Low-latency HD video, COFDM, IP67"
Doodle Labs Mesh Rider,,,95,4200,1.4-2.5GHz,20MHz,50Mbps,30km,60,45,10,5,,"MANET, swarm compatible, 5g vibration resistant"
Persistent MPU5,,,350,7800,0.4-6GHz,20MHz,80Mbps,40km,130,80,35,15,,"PT5 accessory, MANET, 5G/Wi-Fi 6e"
Radionor RN-200,,,480,6500,225-380MHz,25kHz,115kbps,120km,120,90,40,20,,"Tactical UHF, burst transmission, NATO STANAG"
uAvionix muLTElink,,,210,5200,1.6GHz L-band,5MHz,1.2Mbps,100km,70,50,25,8,,"Starlink integrated, ADS-B, DO-160G"
Creomagic SDR-X,,,320,,0.7-6GHz,40MHz,120Mbps,80km,100,75,20,18,,"AI networking, low-latency, anti-jamming"
Rajant Cardinal,,,75,3800,2.4/5.8GHz,40MHz,300Mbps,15km,50,35,8,3,,"Credit-card size, swarm protocol, MIMO"
Troll Systems TS-60,,,1100,9800,1.5-6GHz,50MHz,150Mbps,200km,150,100,45,25,,"Military C2, dual-encrypted, shock-mounted"
VB Antennas V-Link,,,280,4500,1.4-5.8GHz,20MHz,50Mbps,60km,90,65,25,12,,"COFDM, point-to-multipoint, IP67"
JetCat ProLink,,,190,3500,2.4GHz,10MHz,15Mbps,8km,80,60,20,7,,"Integrated telemetry, failsafe protocol"
RDTECH SDR-40,,,420,5800,0.4-6GHz,56MHz,100Mbps,70km,120,60,30,22,,"Reconfigurable waveforms, AES-256"
Freefly Mesh Node,,,150,,900MHz/2.4GHz,10MHz,20Mbps,25km,70,85,15,6,,"NDAAcompliant, Astro UAS platform"
Elsight Halo,,,310,8600,Cellular+SATCOM,N/A,Unlimited,BVLOS,100,70,25,18,,"Multi-link aggregation, Skydio integration"
Triad RF PA-2450-LC,,,500,4200,2.4-2.5GHz,100MHz,250Mbps,40km,150,100,40,45,,"Bidirectional amp, 50dB gain, liquid-cooled"
UXV SRM-2400,,,180,3900,2.4-2.483GHz,40MHz,50Mbps,30km,85,60,18,8,,"Blue UAS framework, swappable modules"
Persistent PT5,,,120,3200,5G/Wi-Fi 6e,N/A,1Gbps,Local,60,45,10,4,,"Wearable MPU5 accessory, secure connectivity"
DTC Vidar,,,250,7500,0.2-6GHz,50MHz,200Mbps,100km,110,80,30,20,,"Video compression, MIL-STD-810H"
T-Mobile UAS Radio,,,400,6500,Cellular bands,N/A,100Mbps,BVLOS,120,90,35,15,,"5G NSA, eSIM, remote ID compliant"
Kraken RF KRAKEN,,,680,12500,1.5-6GHz,56MHz,300Mbps,300km,180,130,50,60,,"SDR platform, ECM resistant"
Silvus StreamCaster,,,360,9800,1.7-2.5GHz,40MHz,80Mbps,50km,140,100,40,28,,"MIMO mesh, 256-QAM, IP67"
Huneed HX-300,,,520,8700,225-512MHz,25kHz,64kbps,150km,130,95,45,30,,"Military MANET, TSM waveform"
L3Harris Falcon IV,,,950,21000,30-512MHz,6.25kHz,9.6kbps,100km,190,150,60,45,,"Tactical UHF, SINCGARS compatible"
