ID,type,performance,metadata,price,capacity-mAh,nominalV,MaxV,maxChargeCurrentA,ContineousDischargeRateA,maxDischargeCurrentA,Length,Width,Height,weight,wh,manufacturer,Manufacturer,Seller,Country,link
RadioMaster6200MAH,Li-ion,,,35,6200,7.4,8.4,8,40,80,85,50,21,203,45.88,RADIOMASTER,RADIOMASTER,UAVmarketplace,India,https://www.uavmarketplace.in/products/radiomaster-6200mah-2s-li-ion-battery/895789000000360039?srsltid=AfmBOoq6pHeejFl-IqTYogCXZ0YO0Qyvyb8kk7f5SrNm7U_nWK5EfCGd
GNB650MAH,LiPo,,,6,650,14.8,14.8,8,40,80,65,18,31,63,45.88,GNB,GNB,UAVmarketplace,India,https://www.uavmarketplace.in/products/GNB%20650mAh%204S1P%2014.8V%2070C%20Lipo%20Battery/895789000000358596?srsltid=AfmBOoo8BurIcubT7GiTkJpC9wMvkM6tmKZgz4ngF8dCGxZ4NvOuYh1Z
GNB1550MAH,,,,38,1550,22.2,22.2,8,40,80,53,35,76,259,45.88,GNB,GNB,UAVmarketplace,India,https://www.uavmarketplace.in/products/
GNB1300MAH,LiPo,,,31,1300,22.2,22.2,8,40,80,42,35,90,,28.86,Gaoneng Battery,GNB,UAVmarketplace,India,https://www.uavmarketplace.in/products/gnb-1300mah-3s1p-11-1v-110c-lipo-battery/895789000000963093?srsltid=AfmBOoowOzhyJM4ornanA3ke5RwQzYZL2NBVdJTCxJ3WFsdg9Szj-6-b
6s25Ah,LiPo,,,499,25000,22.2,25.8,25,25,250,172,90,61,1764,511,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-25ah-drone-battery
6s23Ah,LiPo,,,539,23000,22.2,25.8,23,23,230,191,72,65,1950,555,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-23ah-drone-battery
6s20Ah,LiPo,,,449,20000,22.2,25.8,20,20,200,191,72,54,1574,444,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-20ah-drone-battery
6s16Ah,LiPo,,,365,16000,22.2,25.8,16,80,160,152,60,66,1258,355,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-16ah-drone-battery
4s28Ah,LiPo,,,399,28000,14.8,17.2,-,140,280,190,72,50,1440,414,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/4s-28ah-drone-battery
4s25Ah,LiPo,,,3566,25000,14.8,17.2,-,125,250,190,72,45,1320,370,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/4s-25ah-drone-battery
6s12Ah,LiPo,,,288,12000,22.2,25.8,12,60,120,152,60,52,972,266,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-12ah-drone-battery
6s10Ah,LiPo,,,249,10000,22.2,25.8,10,50,100,152,60,43,812,222,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-10ah-drone-battery
6s8Ah,LiPo,,,170,8000,22.2,25.8,8,40,80,152,60,35,674,178,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-8ah-drone-battery
6s28Ah,LiPo,,,600,28000,22.2,25.8,28,140,280,191,74,73,2131,621,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-28ah-drone-battery
6s30Ah,LiPo,,,639,30000,22.2,25.8,30,150,300,180,95,65,2310,666,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-30ah-drone-battery
6s32Ah,LiPo,,,6799,32000,22.2,25.8,32,160,320,182,95,70,2481,710,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-23ah-drone-battery
6s35Ah,LiPo,,,729,35000,22.2,25.8,35,175,350,182,95,75,2640,777,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/6s-35ah-drone-battery
12s30Ah,LiPo,,,1278,30000,51,60,30,150,300,180,94,127,4600,1332,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/12s-30ah-drone-battery
12s35Ah,LiPo,,,1458,35000,51,60,35,175,350,182,95,171,6184,293,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/12s-35ah-drone-battery
14s35Ah,LiPo,,,1699,35000,51,60,35,175,350,182,95,171,6184,293,HDR Batteries,MAD Components,MAD Components,US,https://mad-motor.com/products/14s-ah-drone-battery
